timestamp,value
2024-01-01 00:00:00,10.2
2024-01-01 00:01:00,10.5
2024-01-01 00:02:00,11.1
2024-01-01 00:03:00,10.8
2024-01-01 00:04:00,11.3
2024-01-01 00:05:00,12.0
2024-01-01 00:06:00,12.4
2024-01-01 00:07:00,12.1
2024-01-01 00:08:00,11.9
2024-01-01 00:09:00,12.5
2024-01-01 00:10:00,13.0
2024-01-01 00:11:00,13.2
2024-01-01 00:12:00,12.8
2024-01-01 00:13:00,13.5
2024-01-01 00:14:00,13.1
2024-01-01 00:15:00,12.9
2024-01-01 00:16:00,13.3
2024-01-01 00:17:00,14.0
2024-01-01 00:18:00,13.8
2024-01-01 00:19:00,14.2
2024-01-01 00:20:00,14.5
2024-01-01 00:21:00,14.3
2024-01-01 00:22:00,13.9
2024-01-01 00:23:00,14.1
2024-01-01 00:24:00,14.6
2024-01-01 00:25:00,15.0
2024-01-01 00:26:00,14.8
2024-01-01 00:27:00,15.2
2024-01-01 00:28:00,15.5
2024-01-01 00:29:00,15.1
2024-01-01 00:30:00,15.4
2024-01-01 00:31:00,15.8
2024-01-01 00:32:00,15.6
2024-01-01 00:33:00,16.0
2024-01-01 00:34:00,15.9
2024-01-01 00:35:00,16.3
2024-01-01 00:36:00,16.1
2024-01-01 00:37:00,16.5
2024-01-01 00:38:00,16.8
2024-01-01 00:39:00,17.0
